CTVA, 4/1/2024, 3, Long, 84.6, 80.0, 72.7, 85.7, 0.89
CTVA, 4/8/2024, 3, Long, 84.6, 80.0, 72.7, 85.7, 0.89
CTVA, 4/15/2024, 3, Long, 84.6, 80.0, 72.7, 85.7, 0.89
CTVA, 3/25/2024, 4, Long, 92.9, 78.3, 94.7, 100.0, 0.89
CTVA, 4/1/2024, 4, Long, 92.9, 78.3, 94.7, 100.0, 0.89
CTVA, 4/8/2024, 4, Long, 92.9, 78.3, 94.7, 100.0, 0.89
CTVA, 4/15/2024, 4, Long, 92.9, 78.3, 94.7, 100.0, 0.89
AIG, 4/1/2024, 3, Long, 93.1, 95.7, 86.4, 83.7, 0.68
AIG, 4/8/2024, 3, Long, 93.1, 95.7, 86.4, 83.7, 0.68
AIG, 4/15/2024, 3, Long, 93.1, 95.7, 86.4, 83.7, 0.68
AIG, 4/8/2024, 4, Long, 94.8, 87.2, 89.5, 82.9, 0.68
AIG, 4/15/2024, 4, Long, 94.8, 87.2, 89.5, 82.9, 0.68
GE, 4/1/2024, 3, Long, 80.8, 88.9, 82.9, 75.5, 0.56
GE, 4/8/2024, 3, Long, 80.8, 88.9, 82.9, 75.5, 0.56
GE, 4/15/2024, 3, Long, 80.8, 88.9, 82.9, 75.5, 0.56
CTAS, 4/1/2024, 3, Long, 89.6, 90.0, 75.7, 76.2, 0.57
CTAS, 4/8/2024, 3, Long, 89.6, 90.0, 75.7, 76.2, 0.57
CTAS, 4/15/2024, 3, Long, 89.6, 90.0, 75.7, 76.2, 0.57
META, 4/1/2024, 3, Long, 96.6, 85.0, 77.8, 81.6, 0.58
META, 4/8/2024, 3, Long, 96.6, 85.0, 77.8, 81.6, 0.58
META, 4/15/2024, 3, Long, 96.6, 85.0, 77.8, 81.6, 0.58
META, 4/15/2024, 4, Long, 96.8, 81.1, 87.8, 76.7, 0.58
AIZ, 4/1/2024, 3, Long, 91.4, 80.0, 87.2, 76.7, 0.68
AIZ, 4/8/2024, 3, Long, 91.4, 80.0, 87.2, 76.7, 0.68
AIZ, 4/15/2024, 3, Long, 91.4, 80.0, 87.2, 76.7, 0.68
AIZ, 3/25/2024, 4, Long, 93.8, 95.0, 82.1, 79.5, 0.68
AIZ, 4/1/2024, 4, Long, 93.8, 95.0, 82.1, 79.5, 0.68
AIZ, 4/8/2024, 4, Long, 93.8, 95.0, 82.1, 79.5, 0.68
AIZ, 4/15/2024, 4, Long, 93.8, 95.0, 82.1, 79.5, 0.68
ETN, 4/8/2024, 4, Long, 99.0, 90.5, 85.7, 82.2, 0.54
ETN, 4/15/2024, 4, Long, 99.0, 90.5, 85.7, 82.2, 0.54
PG, 4/1/2024, 3, Long, 97.1, 89.5, 69.2, 78.8, 0.71
PG, 4/8/2024, 3, Long, 97.1, 89.5, 69.2, 78.8, 0.71
PG, 4/15/2024, 3, Long, 97.1, 89.5, 69.2, 78.8, 0.71
PG, 3/25/2024, 4, Long, 91.2, 84.8, 77.4, 76.5, 0.71
PG, 4/1/2024, 4, Long, 91.2, 84.8, 77.4, 76.5, 0.71
PG, 4/8/2024, 4, Long, 91.2, 84.8, 77.4, 76.5, 0.71
PG, 4/15/2024, 4, Long, 91.2, 84.8, 77.4, 76.5, 0.71
AFL, 4/1/2024, 3, Long, 90.3, 93.0, 86.4, 81.2, 0.78
AFL, 4/8/2024, 3, Long, 90.3, 93.0, 86.4, 81.2, 0.78
AFL, 4/15/2024, 3, Long, 90.3, 93.0, 86.4, 81.2, 0.78
AFL, 3/25/2024, 4, Short, 96.4, 88.2, 92.3, 80.0, 0.78
AFL, 4/1/2024, 4, Short, 96.4, 88.2, 92.3, 80.0, 0.78
AFL, 4/8/2024, 4, Long, 96.4, 88.2, 92.3, 86.8, 0.78
AFL, 4/15/2024, 4, Long, 96.4, 88.2, 92.3, 86.8, 0.78
RSG, 3/25/2024, 4, Long, 85.1, 83.3, 83.3, 76.9, 0.66
RSG, 4/1/2024, 4, Long, 85.1, 83.3, 83.3, 76.9, 0.66
RSG, 4/8/2024, 4, Long, 85.1, 83.3, 83.3, 76.9, 0.66
